X	Y	Z	Time	xtrans	ytrans	x + xtrans	y + ytrans
-0.0864425	1.58638	0.215366	0.562906	0	0	-0.0864425	0.215366
-0.0830535	1.58596	0.21154	0.613394	0	0	-0.0830535	0.21154
-0.0782244	1.58628	0.207426	0.663543	0	0	-0.0782244	0.207426
-0.0726997	1.58818	0.201901	0.713149	0	0	-0.0726997	0.201901
-0.0667366	1.59115	0.196441	0.763455	0	0	-0.0667366	0.196441
-0.0613746	1.59413	0.189019	0.813434	0	0	-0.0613746	0.189019
-0.0554838	1.59469	0.181197	0.863093	0	0	-0.0554838	0.181197
-0.0493215	1.5937	0.174738	0.912702	0	0	-0.0493215	0.174738
-0.0445704	1.59343	0.169582	0.963344	0	0	-0.0445704	0.169582
-0.0389338	1.5932	0.16393	1.01292	0	0	-0.0389338	0.16393
-0.0325546	1.59298	0.159586	1.06329	0	0	-0.0325546	0.159586
-0.0285575	1.5944	0.156022	1.11373	0	0	-0.0285575	0.156022
-0.024555	1.59631	0.151682	1.1638	0	0	-0.024555	0.151682
-0.020147	1.59743	0.146741	1.21351	0	0	-0.020147	0.146741
-0.0158461	1.59644	0.142305	1.26322	0	0	-0.0158461	0.142305
-0.0121005	1.59432	0.137945	1.31325	0	0	-0.0121005	0.137945
-0.00974181	1.59266	0.13419	1.36283	0	0	-0.00974181	0.13419
-0.00685521	1.59119	0.131912	1.41259	0	0	-0.00685521	0.131912
-0.00457779	1.59112	0.129944	1.46213	0	0	-0.00457779	0.129944
-0.00225564	1.59102	0.128189	1.5118	0	0	-0.00225564	0.128189
0.000170693	1.59068	0.126275	1.56143	0	0	0.000170693	0.126275
0.0022743	1.59021	0.124848	1.61172	0	0	0.0022743	0.124848
0.00383165	1.58966	0.123966	1.66171	0	0	0.00383165	0.123966
0.00454124	1.58935	0.123546	1.71131	0	0	0.00454124	0.123546
0.0053494	1.58932	0.123754	1.76144	0	0	0.0053494	0.123754
0.00584491	1.58949	0.124308	1.81105	0	0	0.00584491	0.124308
0.0060343	1.58991	0.125047	1.8607	0	0	0.0060343	0.125047
0.00605067	1.59019	0.125942	1.91031	0	0	0.00605067	0.125942
0.00615275	1.59022	0.126744	1.96046	0	0	0.00615275	0.126744
0.0060023	1.59017	0.127493	2.01059	0	0	0.0060023	0.127493
0.00584088	1.59027	0.128245	2.06077	0	0	0.00584088	0.128245
0.00579373	1.59044	0.128991	2.11034	0	0	0.00579373	0.128991
0.00588619	1.59093	0.129821	2.16014	0	0	0.00588619	0.129821
0.00620965	1.59144	0.130082	2.21064	0	0	0.00620965	0.130082
0.00673851	1.59198	0.130093	2.26039	0	0	0.00673851	0.130093
0.00727799	1.59227	0.130062	2.31087	0	0	0.00727799	0.130062
0.00777614	1.59266	0.130154	2.36105	0	0	0.00777614	0.130154
0.00799844	1.59322	0.130148	2.41068	0	0	0.00799844	0.130148
0.0081997	1.59378	0.129938	2.46037	0	0	0.0081997	0.129938
0.00849972	1.59404	0.129562	2.51046	0	0	0.00849972	0.129562
0.00894935	1.59433	0.128519	2.56053	0	0	0.00894935	0.128519
0.00954337	1.59458	0.127436	2.61018	0	0	0.00954337	0.127436
0.0102119	1.59469	0.126208	2.6605	0	0	0.0102119	0.126208
0.0108631	1.59479	0.125243	2.71046	0	0	0.0108631	0.125243
0.0113951	1.59486	0.124637	2.76116	0	0	0.0113951	0.124637
0.0116817	1.59479	0.124381	2.81122	0	0	0.0116817	0.124381
0.0114578	1.59482	0.12467	2.8614	0	0	0.0114578	0.12467
0.0117976	1.59413	0.125216	2.91211	0	0	0.0117976	0.125216
0.0131266	1.5926	0.124757	2.96225	0	0	0.0131266	0.124757
0.0151215	1.59048	0.123064	3.01226	0	0	0.0151215	0.123064
0.0166885	1.59256	0.119178	3.06252	0	0	0.0166885	0.119178
0.0174816	1.60145	0.116691	3.11201	0	0	0.0174816	0.116691
0.0175707	1.61264	0.116786	3.16203	0	0	0.0175707	0.116786
0.0162372	1.61977	0.118872	3.21174	0	0	0.0162372	0.118872
0.0125993	1.6243	0.122019	3.26186	0	0	0.0125993	0.122019
0.00552168	1.62841	0.127904	3.31156	0	0	0.00552168	0.127904
-0.00189783	1.63273	0.134468	3.36217	0	0	-0.00189783	0.134468
-0.00781594	1.6366	0.140728	3.41235	0	0	-0.00781594	0.140728
-0.013327	1.63986	0.146289	3.46246	0	0	-0.013327	0.146289
-0.0178207	1.64187	0.150301	3.51214	0	0	-0.0178207	0.150301
-0.0218292	1.6416	0.153296	3.56219	0	0	-0.0218292	0.153296
-0.0256444	1.64165	0.155253	3.61246	0	0	-0.0256444	0.155253
-0.0314495	1.63954	0.155526	3.66257	0	0	-0.0314495	0.155526
-0.0440018	1.63037	0.153467	3.71223	0	0	-0.0440018	0.153467
-0.050431	1.6082	0.156068	3.76288	0	0	-0.050431	0.156068
-0.0562929	1.58047	0.159924	3.8129	0	0	-0.0562929	0.159924
-0.0626865	1.55146	0.163818	3.8631	0	0	-0.0626865	0.163818
-0.0718022	1.52004	0.166807	3.91274	0	0	-0.0718022	0.166807
-0.0781864	1.50254	0.168103	3.96326	0	0	-0.0781864	0.168103
-0.0855138	1.49393	0.166299	4.01349	0	0	-0.0855138	0.166299
-0.0897885	1.49145	0.165109	4.06357	0	0	-0.0897885	0.165109
-0.0940061	1.48998	0.164854	4.11325	0	0	-0.0940061	0.164854
-0.0979121	1.48927	0.165473	4.16343	0	0	-0.0979121	0.165473
-0.100209	1.49025	0.166071	4.21344	0	0	-0.100209	0.166071
-0.101344	1.49208	0.16559	4.2631	0	0	-0.101344	0.16559
-0.10151	1.49356	0.164095	4.31318	0	0	-0.10151	0.164095
-0.100734	1.49393	0.162087	4.36284	0	0	-0.100734	0.162087
-0.0990514	1.49197	0.159737	4.41366	0	0	-0.0990514	0.159737
-0.0988741	1.49291	0.156441	4.46413	0	0	-0.0988741	0.156441
-0.100498	1.50042	0.150807	4.5138	0	0	-0.100498	0.150807
-0.0991758	1.51244	0.145139	4.56339	0	0	-0.0991758	0.145139
-0.0964036	1.52411	0.142115	4.61356	0	0	-0.0964036	0.142115
-0.0935809	1.53378	0.141944	4.66375	0	0	-0.0935809	0.141944
-0.0924413	1.55307	0.140275	4.71328	0	0	-0.0924413	0.140275
-0.0860419	1.57892	0.13709	4.76342	0	0	-0.0860419	0.13709
