X	Y	Z	Time	xtrans	ytrans	x + xtrans	y + ytrans
0.102513	1.55388	-0.154873	0.55912	0	0	0.102513	-0.154873
0.098905	1.55314	-0.155229	0.609576	0	0	0.098905	-0.155229
0.0959748	1.55234	-0.155816	0.659205	0	0	0.0959748	-0.155816
0.0930288	1.55281	-0.155693	0.70884	0	0	0.0930288	-0.155693
0.0918506	1.55598	-0.152652	0.758508	0	0	0.0918506	-0.152652
0.0927643	1.56045	-0.148472	0.808342	0	0	0.0927643	-0.148472
0.0955458	1.56432	-0.145268	0.858224	0	0	0.0955458	-0.145268
0.0990002	1.56888	-0.144121	0.907942	0	0	0.0990002	-0.144121
0.102679	1.56994	-0.143846	0.958194	0	0	0.102679	-0.143846
0.105682	1.56857	-0.14486	1.00845	0	0	0.105682	-0.14486
0.10589	1.56712	-0.147849	1.05837	0	0	0.10589	-0.147849
0.103849	1.56578	-0.147809	1.10833	0	0	0.103849	-0.147809
0.101608	1.56526	-0.145942	1.15805	0	0	0.101608	-0.145942
0.100656	1.56519	-0.142699	1.20756	0	0	0.100656	-0.142699
0.10252	1.56443	-0.139119	1.25782	0	0	0.10252	-0.139119
0.104414	1.56043	-0.134043	1.30799	0	0	0.104414	-0.134043
0.106241	1.55681	-0.129582	1.35799	0	0	0.106241	-0.129582
0.107488	1.55553	-0.126761	1.40763	0	0	0.107488	-0.126761
0.108374	1.55462	-0.12357	1.45733	0	0	0.108374	-0.12357
0.110917	1.5528	-0.120181	1.50804	0	0	0.110917	-0.120181
0.114388	1.5536	-0.117511	1.55766	0	0	0.114388	-0.117511
0.116886	1.55848	-0.114971	1.60779	0	0	0.116886	-0.114971
0.118115	1.56414	-0.114574	1.65795	0	0	0.118115	-0.114574
0.118765	1.56738	-0.113535	1.70869	0	0	0.118765	-0.113535
0.118559	1.57039	-0.113393	1.75873	0	0	0.118559	-0.113393
0.118466	1.57182	-0.114144	1.8084	0	0	0.118466	-0.114144
0.118186	1.57424	-0.118131	1.85808	0	0	0.118186	-0.118131
0.116969	1.57582	-0.122014	1.90817	0	0	0.116969	-0.122014
0.116245	1.57745	-0.126314	1.9579	0	0	0.116245	-0.126314
0.117059	1.57916	-0.13266	2.00807	0	0	0.117059	-0.13266
0.119132	1.57931	-0.137372	2.05817	0	0	0.119132	-0.137372
0.120238	1.57871	-0.139774	2.10837	0	0	0.120238	-0.139774
0.121497	1.57882	-0.140295	2.15858	0	0	0.121497	-0.140295
0.122488	1.58069	-0.140666	2.20934	0	0	0.122488	-0.140666
0.124113	1.5825	-0.139957	2.25967	0	0	0.124113	-0.139957
0.12356	1.58303	-0.136384	2.30966	0	0	0.12356	-0.136384
0.121706	1.58332	-0.132867	2.35957	0	0	0.121706	-0.132867
0.119283	1.58637	-0.131305	2.40978	0	0	0.119283	-0.131305
0.120046	1.58653	-0.132293	2.45982	0	0	0.120046	-0.132293
0.121977	1.58524	-0.132023	2.50964	0	0	0.121977	-0.132023
0.102178	1.59282	-0.0965999	3.95597	0	0	0.102178	-0.0965999
0.102178	1.59282	-0.0965999	3.95671	0	0	0.102178	-0.0965999
0.102509	1.59297	-0.0954473	4.00735	0	0	0.102509	-0.0954473
0.102641	1.59261	-0.0943238	4.05751	0	0	0.102641	-0.0943238
0.102874	1.59299	-0.0939113	4.10766	0	0	0.102874	-0.0939113
0.10257	1.59337	-0.093746	4.15725	0	0	0.10257	-0.093746
0.101617	1.5936	-0.0940373	4.20686	0	0	0.101617	-0.0940373
0.100872	1.59305	-0.0945991	4.25651	0	0	0.100872	-0.0945991
0.0995812	1.59286	-0.0951189	4.30664	0	0	0.0995812	-0.0951189
0.0976582	1.59278	-0.0954996	4.35643	0	0	0.0976582	-0.0954996
0.0955993	1.5936	-0.0959506	4.40675	0	0	0.0955993	-0.0959506
0.0937425	1.59302	-0.0957158	4.45689	0	0	0.0937425	-0.0957158
0.0919505	1.59323	-0.095253	4.5069	0	0	0.0919505	-0.095253
0.0898632	1.5936	-0.0945719	4.557	0	0	0.0898632	-0.0945719
0.0878309	1.59327	-0.093592	4.60603	0	0	0.0878309	-0.093592
0.0854699	1.59506	-0.092862	4.65559	0	0	0.0854699	-0.092862
0.0838207	1.59648	-0.0926977	4.70525	0	0	0.0838207	-0.0926977
0.0851354	1.59546	-0.092851	4.75441	0	0	0.0851354	-0.092851
0.0905273	1.59353	-0.0935614	4.80453	0	0	0.0905273	-0.0935614
0.0948408	1.59188	-0.0955055	4.85417	0	0	0.0948408	-0.0955055
0.0975942	1.59022	-0.0999647	4.90379	0	0	0.0975942	-0.0999647
0.0957843	1.58664	-0.104454	4.95344	0	0	0.0957843	-0.104454
