X	Y	Z	Time 	xtrans	ytrans	x + xtrans	y + ytrans
-0.0342842	1.50899	-0.376212	0.61616	0	0	-0.0342842	-0.376212
-0.033091	1.50864	-0.375214	0.665182	0	0	-0.033091	-0.375214
-0.0319043	1.50893	-0.374748	0.714796	0	0	-0.0319043	-0.374748
-0.0322564	1.50829	-0.372953	0.764895	0	0	-0.0322564	-0.372953
-0.0328863	1.50871	-0.370366	0.814926	0	0	-0.0328863	-0.370366
-0.0336041	1.50955	-0.367373	0.863745	0	0	-0.0336041	-0.367373
-0.0339525	1.51137	-0.36553	0.913853	0	0	-0.0339525	-0.36553
-0.0351052	1.51329	-0.364754	0.964034	0	0	-0.0351052	-0.364754
-0.0369768	1.51518	-0.365189	1.01357	0	0	-0.0369768	-0.365189
-0.0381957	1.51599	-0.366338	1.06328	0	0	-0.0381957	-0.366338
-0.0395568	1.51618	-0.366982	1.11307	0	0	-0.0395568	-0.366982
-0.0397711	1.5167	-0.368287	1.16347	0	0	-0.0397711	-0.368287
-0.039652	1.51623	-0.368254	1.2131	0	0	-0.039652	-0.368254
-0.0389823	1.51634	-0.368524	1.26276	0	0	-0.0389823	-0.368524
-0.0382895	1.51668	-0.369274	1.313	0	0	-0.0382895	-0.369274
-0.0381745	1.51736	-0.371222	1.36252	0	0	-0.0381745	-0.371222
-0.0385115	1.51774	-0.373595	1.41215	0	0	-0.0385115	-0.373595
-0.0388804	1.51675	-0.37605	1.46176	0	0	-0.0388804	-0.37605
-0.0386405	1.5149	-0.377255	1.51143	0	0	-0.0386405	-0.377255
-0.0374062	1.51381	-0.37782	1.56162	0	0	-0.0374062	-0.37782
-0.0361538	1.51404	-0.378651	1.61166	0	0	-0.0361538	-0.378651
-0.0364717	1.51417	-0.380404	1.66217	0	0	-0.0364717	-0.380404
-0.0376276	1.51389	-0.382758	1.71147	0	0	-0.0376276	-0.382758
-0.0392468	1.5127	-0.384947	1.76111	0	0	-0.0392468	-0.384947
-0.0402969	1.5113	-0.387299	1.81125	0	0	-0.0402969	-0.387299
-0.0410025	1.5114	-0.390427	1.86089	0	0	-0.0410025	-0.390427
-0.0421154	1.51175	-0.393702	1.91097	0	0	-0.0421154	-0.393702
-0.0427932	1.51192	-0.397448	1.96066	0	0	-0.0427932	-0.397448
-0.0436906	1.51237	-0.401657	2.01021	0	0	-0.0436906	-0.401657
-0.0437968	1.51269	-0.404771	2.05994	0	0	-0.0437968	-0.404771
-0.0435835	1.51372	-0.407746	2.11003	0	0	-0.0435835	-0.407746
-0.0426915	1.51422	-0.408706	2.16011	0	0	-0.0426915	-0.408706
-0.0412555	1.51448	-0.408425	2.20989	0	0	-0.0412555	-0.408425
-0.0397666	1.51483	-0.407309	2.25999	0	0	-0.0397666	-0.407309
-0.0385171	1.51469	-0.405812	2.30955	0	0	-0.0385171	-0.405812
-0.0379129	1.51455	-0.404814	2.35967	0	0	-0.0379129	-0.404814
-0.0379677	1.51452	-0.405105	2.40931	0	0	-0.0379677	-0.405105
-0.0390686	1.51453	-0.406178	2.45999	0	0	-0.0390686	-0.406178
-0.0405089	1.51482	-0.408119	2.51011	0	0	-0.0405089	-0.408119
-0.0421776	1.51504	-0.409818	2.55981	0	0	-0.0421776	-0.409818
-0.043708	1.51488	-0.41111	2.60983	0	0	-0.043708	-0.41111
-0.0448635	1.51502	-0.412129	2.66045	0	0	-0.0448635	-0.412129
-0.0450407	1.51529	-0.412504	2.71081	0	0	-0.0450407	-0.412504
-0.0451934	1.51551	-0.412425	2.75975	0	0	-0.0451934	-0.412425
-0.045161	1.51607	-0.412363	2.80985	0	0	-0.045161	-0.412363
-0.0455736	1.51615	-0.412136	2.85999	0	0	-0.0455736	-0.412136
-0.0452064	1.51651	-0.411757	2.9101	0	0	-0.0452064	-0.411757
-0.0444033	1.51643	-0.410324	2.95977	0	0	-0.0444033	-0.410324
-0.0435029	1.51619	-0.408103	3.00989	0	0	-0.0435029	-0.408103
-0.0431826	1.51614	-0.406535	3.05952	0	0	-0.0431826	-0.406535
-0.0433288	1.51672	-0.406794	3.10917	0	0	-0.0433288	-0.406794
-0.043744	1.51693	-0.40809	3.15883	0	0	-0.043744	-0.40809
-0.0452069	1.51693	-0.409588	3.20901	0	0	-0.0452069	-0.409588
-0.0467759	1.51786	-0.411919	3.25934	0	0	-0.0467759	-0.411919
-0.0486343	1.51851	-0.41295	3.30888	0	0	-0.0486343	-0.41295
-0.0502771	1.51991	-0.413531	3.35889	0	0	-0.0502771	-0.413531
-0.0505439	1.52163	-0.413552	3.40906	0	0	-0.0505439	-0.413552
-0.0496403	1.52304	-0.413496	3.45872	0	0	-0.0496403	-0.413496
-0.0474535	1.52404	-0.413213	3.50883	0	0	-0.0474535	-0.413213
-0.0455964	1.52409	-0.41282	3.55845	0	0	-0.0455964	-0.41282
-0.0445511	1.52422	-0.412981	3.60833	0	0	-0.0445511	-0.412981
-0.0435685	1.52445	-0.413396	3.65797	0	0	-0.0435685	-0.413396
-0.0428604	1.52487	-0.413374	3.70763	0	0	-0.0428604	-0.413374
-0.0427882	1.5252	-0.412999	3.75727	0	0	-0.0427882	-0.412999
-0.0426664	1.52505	-0.412306	3.807	0	0	-0.0426664	-0.412306
-0.0425245	1.52485	-0.411688	3.8576	0	0	-0.0425245	-0.411688
-0.042541	1.52502	-0.411548	3.90763	0	0	-0.042541	-0.411548
-0.0424137	1.52485	-0.411621	3.95794	0	0	-0.0424137	-0.411621
-0.0423653	1.52453	-0.411805	4.00843	0	0	-0.0423653	-0.411805
-0.0421533	1.52393	-0.411755	4.05864	0	0	-0.0421533	-0.411755
-0.0416401	1.52357	-0.411738	4.10725	0	0	-0.0416401	-0.411738
-0.0413158	1.52252	-0.411171	4.15827	0	0	-0.0413158	-0.411171
-0.0411165	1.52183	-0.410517	4.20796	0	0	-0.0411165	-0.410517
-0.0407039	1.52144	-0.410005	4.25758	0	0	-0.0407039	-0.410005
-0.0404434	1.52007	-0.408843	4.30791	0	0	-0.0404434	-0.408843
-0.0397669	1.51898	-0.407953	4.35784	0	0	-0.0397669	-0.407953
-0.0390277	1.51855	-0.406831	4.40807	0	0	-0.0390277	-0.406831
-0.039106	1.51825	-0.406259	4.45815	0	0	-0.039106	-0.406259
-0.0392669	1.51785	-0.405743	4.50779	0	0	-0.0392669	-0.405743
-0.0395527	1.51817	-0.405686	4.55862	0	0	-0.0395527	-0.405686
-0.0397861	1.51846	-0.405996	4.6085	0	0	-0.0397861	-0.405996
-0.0408413	1.51813	-0.406244	4.65816	0	0	-0.0408413	-0.406244
-0.041671	1.51793	-0.406834	4.70809	0	0	-0.041671	-0.406834
-0.0422822	1.51766	-0.407525	4.75822	0	0	-0.0422822	-0.407525
-0.0427262	1.51731	-0.408205	4.80797	0	0	-0.0427262	-0.408205
-0.0432844	1.51694	-0.409257	4.85791	0	0	-0.0432844	-0.409257
-0.0442079	1.51668	-0.409939	4.90805	0	0	-0.0442079	-0.409939
-0.0450446	1.5168	-0.410445	4.95764	0	0	-0.0450446	-0.410445
-0.0455052	1.5172	-0.411244	5.00799	0	0	-0.0455052	-0.411244
-0.0457235	1.51757	-0.412493	5.05798	0	0	-0.0457235	-0.412493
-0.0461603	1.51724	-0.413619	5.10818	0	0	-0.0461603	-0.413619
-0.0464067	1.51722	-0.414672	5.15821	0	0	-0.0464067	-0.414672
-0.0463269	1.51761	-0.416183	5.20896	0	0	-0.0463269	-0.416183
-0.0466677	1.51777	-0.417513	5.25902	0	0	-0.0466677	-0.417513
-0.0469567	1.51767	-0.418478	5.3098	0	0	-0.0469567	-0.418478
-0.0471229	1.51773	-0.419552	5.36024	0	0	-0.0471229	-0.419552
-0.0472827	1.51773	-0.420622	5.40991	0	0	-0.0472827	-0.420622
-0.047319	1.51786	-0.421675	5.45952	0	0	-0.047319	-0.421675
-0.0472415	1.51804	-0.422556	5.51011	0	0	-0.0472415	-0.422556
-0.0472241	1.51828	-0.423603	5.55979	0	0	-0.0472241	-0.423603
-0.0476291	1.51822	-0.424708	5.61	0	0	-0.0476291	-0.424708
-0.0477202	1.51791	-0.425469	5.66065	0	0	-0.0477202	-0.425469
-0.0475061	1.51795	-0.42601	5.71087	0	0	-0.0475061	-0.42601
-0.0474092	1.51763	-0.425928	5.76054	0	0	-0.0474092	-0.425928
-0.047113	1.51793	-0.42623	5.81069	0	0	-0.047113	-0.42623
-0.0475982	1.51815	-0.426872	5.86126	0	0	-0.0475982	-0.426872
-0.0478717	1.51796	-0.427264	5.91105	0	0	-0.0478717	-0.427264
-0.0475085	1.51714	-0.426532	5.96124	0	0	-0.0475085	-0.426532
-0.0465797	1.51661	-0.425288	6.01128	0	0	-0.0465797	-0.425288
-0.0455127	1.51657	-0.42417	6.06088	0	0	-0.0455127	-0.42417
-0.0448776	1.51677	-0.42262	6.11099	0	0	-0.0448776	-0.42262
-0.0447174	1.51611	-0.421471	6.16115	0	0	-0.0447174	-0.421471
-0.0446989	1.51638	-0.420095	6.21073	0	0	-0.0446989	-0.420095
-0.0458585	1.51779	-0.417665	6.26089	0	0	-0.0458585	-0.417665
-0.0466426	1.51954	-0.414616	6.31074	0	0	-0.0466426	-0.414616
-0.0470563	1.52006	-0.412105	6.36071	0	0	-0.0470563	-0.412105
-0.047206	1.52047	-0.408927	6.41034	0	0	-0.047206	-0.408927
-0.0475996	1.5218	-0.405175	6.45996	0	0	-0.0475996	-0.405175
-0.0475942	1.52349	-0.401644	6.51013	0	0	-0.0475942	-0.401644
-0.0477043	1.525	-0.399143	6.5598	0	0	-0.0477043	-0.399143
-0.0481533	1.52629	-0.397274	6.60984	0	0	-0.0481533	-0.397274
-0.04913	1.52718	-0.395617	6.6605	0	0	-0.04913	-0.395617
-0.0498064	1.52792	-0.394924	6.71111	0	0	-0.0498064	-0.394924
-0.050603	1.52815	-0.39385	6.76122	0	0	-0.050603	-0.39385
-0.0509367	1.52859	-0.392838	6.81103	0	0	-0.0509367	-0.392838
-0.0514034	1.52899	-0.391739	6.86101	0	0	-0.0514034	-0.391739
-0.0519628	1.52911	-0.39073	6.91075	0	0	-0.0519628	-0.39073
-0.0523529	1.52886	-0.389188	6.96076	0	0	-0.0523529	-0.389188
-0.0524585	1.52911	-0.387745	7.01092	0	0	-0.0524585	-0.387745
-0.0526779	1.5294	-0.38648	7.06102	0	0	-0.0526779	-0.38648
-0.0530025	1.52971	-0.385695	7.1107	0	0	-0.0530025	-0.385695
-0.0534259	1.53022	-0.384457	7.16084	0	0	-0.0534259	-0.384457
-0.0536673	1.53134	-0.383456	7.21058	0	0	-0.0536673	-0.383456
-0.0543167	1.53259	-0.382101	7.2607	0	0	-0.0543167	-0.382101
-0.0549243	1.53403	-0.38154	7.31083	0	0	-0.0549243	-0.38154
