X	Y	Z	Time	xtrans	ytrans	x + xtrans	y + ytrans
0.299836	1.64101	-0.141571	0.590894	0	0	0.299836	-0.141571
0.299287	1.6393	-0.14268	0.639984	0	0	0.299287	-0.14268
0.301081	1.63785	-0.142648	0.689719	0	0	0.301081	-0.142648
0.299713	1.63752	-0.143072	0.739896	0	0	0.299713	-0.143072
0.297946	1.63693	-0.141027	0.790144	0	0	0.297946	-0.141027
0.298914	1.63425	-0.141671	0.840205	0	0	0.298914	-0.141671
0.297765	1.6276	-0.142881	0.890434	0	0	0.297765	-0.142881
0.291572	1.62303	-0.145374	0.940322	0	0	0.291572	-0.145374
0.28584	1.62243	-0.148662	0.989964	0	0	0.28584	-0.148662
0.280284	1.62643	-0.14939	1.03969	0	0	0.280284	-0.14939
0.278559	1.62594	-0.150566	1.09049	0	0	0.278559	-0.150566
0.28071	1.62304	-0.151204	1.14041	0	0	0.28071	-0.151204
0.279591	1.62478	-0.148118	1.19046	0	0	0.279591	-0.148118
0.282361	1.62716	-0.138618	1.24027	0	0	0.282361	-0.138618
0.286668	1.6326	-0.131011	1.29037	0	0	0.286668	-0.131011
0.293494	1.64063	-0.128052	1.34054	0	0	0.293494	-0.128052
0.298285	1.64649	-0.126299	1.39118	0	0	0.298285	-0.126299
0.29446	1.64911	-0.12269	1.44078	0	0	0.29446	-0.12269
0.290233	1.65147	-0.11872	1.49089	0	0	0.290233	-0.11872
0.290115	1.65937	-0.115702	1.54056	0	0	0.290115	-0.115702
0.283723	1.65936	-0.113341	1.59076	0	0	0.283723	-0.113341
0.290818	1.66034	-0.115449	1.64023	0	0	0.290818	-0.115449
0.295562	1.66042	-0.113824	1.69033	0	0	0.295562	-0.113824
0.294341	1.66432	-0.114138	1.74068	0	0	0.294341	-0.114138
0.291075	1.66789	-0.113668	1.78964	0	0	0.291075	-0.113668
0.290666	1.67063	-0.113636	1.83981	0	0	0.290666	-0.113636
0.291401	1.6737	-0.111773	1.88934	0	0	0.291401	-0.111773
0.292935	1.67752	-0.109215	1.93901	0	0	0.292935	-0.109215
0.295233	1.68045	-0.107488	1.9892	0	0	0.295233	-0.107488
0.297729	1.68281	-0.104687	2.03927	0	0	0.297729	-0.104687
