X	Y	Z	Time	xtrans	ytrans	x + xtrans	y + ytrans
0.22857	1.3566	-1.42228	241.106	0	0	0.22857	-1.42228
0.250071	1.37932	-1.38004	241.156	0	0	0.250071	-1.38004
0.273494	1.39667	-1.34137	241.206	0	0	0.273494	-1.34137
0.2923	1.41171	-1.31117	241.256	0	0	0.2923	-1.31117
0.307662	1.42758	-1.28563	241.306	0	0	0.307662	-1.28563
0.320438	1.45061	-1.25826	241.356	0	0	0.320438	-1.25826
0.333102	1.47329	-1.23514	241.406	0	0	0.333102	-1.23514
0.34517	1.49067	-1.21561	241.456	0	0	0.34517	-1.21561
0.36185	1.50256	-1.1984	241.506	0	0	0.36185	-1.1984
0.380684	1.51415	-1.17677	241.556	0	0	0.380684	-1.17677
0.395849	1.52271	-1.1583	241.606	0	0	0.395849	-1.1583
0.402512	1.53201	-1.14205	241.656	0	0	0.402512	-1.14205
0.401844	1.54277	-1.12355	241.707	0	0	0.401844	-1.12355
0.395122	1.54972	-1.10784	241.757	0	0	0.395122	-1.10784
0.384336	1.55154	-1.09204	241.807	0	0	0.384336	-1.09204
0.370065	1.54849	-1.07816	241.857	0	0	0.370065	-1.07816
0.352537	1.54071	-1.06676	241.907	0	0	0.352537	-1.06676
0.328089	1.53416	-1.05475	241.957	0	0	0.328089	-1.05475
0.298067	1.52912	-1.03932	242.007	0	0	0.298067	-1.03932
0.267122	1.52274	-1.02226	242.057	0	0	0.267122	-1.02226
0.227574	1.51365	-1.00124	242.107	0	0	0.227574	-1.00124
0.190461	1.5037	-0.980708	242.157	0	0	0.190461	-0.980708
0.158309	1.49159	-0.961365	242.206	0	0	0.158309	-0.961365
0.130832	1.47801	-0.943629	242.257	0	0	0.130832	-0.943629
0.101865	1.46011	-0.922108	242.307	0	0	0.101865	-0.922108
0.0818595	1.44545	-0.902431	242.357	0	0	0.0818595	-0.902431
0.0655394	1.43098	-0.883046	242.407	0	0	0.0655394	-0.883046
0.0512366	1.41323	-0.863477	242.457	0	0	0.0512366	-0.863477
0.0394302	1.39569	-0.845081	242.506	0	0	0.0394302	-0.845081
0.0319765	1.3752	-0.828172	242.556	0	0	0.0319765	-0.828172
0.0297631	1.36078	-0.817107	242.607	0	0	0.0297631	-0.817107
0.0273085	1.3498	-0.805127	242.657	0	0	0.0273085	-0.805127
0.0257569	1.34282	-0.796486	242.707	0	0	0.0257569	-0.796486
0.0237572	1.33972	-0.792067	242.757	0	0	0.0237572	-0.792067
0.0215475	1.34027	-0.790836	242.807	0	0	0.0215475	-0.790836
0.0205483	1.34357	-0.789498	242.857	0	0	0.0205483	-0.789498
0.0192245	1.34694	-0.782871	242.907	0	0	0.0192245	-0.782871
0.0194497	1.34564	-0.777659	242.957	0	0	0.0194497	-0.777659
0.0214813	1.34138	-0.777239	243.007	0	0	0.0214813	-0.777239
0.0221489	1.33839	-0.779868	243.057	0	0	0.0221489	-0.779868
0.0205965	1.33888	-0.780093	243.107	0	0	0.0205965	-0.780093
0.0212288	1.34259	-0.778298	243.157	0	0	0.0212288	-0.778298
0.0238228	1.34746	-0.775771	243.207	0	0	0.0238228	-0.775771
0.0290244	1.3495	-0.778175	243.269	0	0	0.0290244	-0.778175
0.0305637	1.35024	-0.781136	243.307	0	0	0.0305637	-0.781136
0.0299636	1.3518	-0.784047	243.356	0	0	0.0299636	-0.784047
0.0293526	1.35503	-0.78684	243.407	0	0	0.0293526	-0.78684
0.0294759	1.36086	-0.787507	243.456	0	0	0.0294759	-0.787507
0.0300717	1.36367	-0.787557	243.506	0	0	0.0300717	-0.787557
0.031174	1.36272	-0.788969	243.555	0	0	0.031174	-0.788969
0.0321678	1.35989	-0.792143	243.606	0	0	0.0321678	-0.792143
0.0322825	1.3607	-0.794906	243.655	0	0	0.0322825	-0.794906
0.0324467	1.36691	-0.795177	243.705	0	0	0.0324467	-0.795177
0.0338435	1.37028	-0.793726	243.756	0	0	0.0338435	-0.793726
0.0365647	1.368	-0.794324	243.806	0	0	0.0365647	-0.794324
0.038478	1.36458	-0.797342	243.856	0	0	0.038478	-0.797342
0.0376431	1.36493	-0.799579	243.906	0	0	0.0376431	-0.799579
0.0370096	1.37015	-0.801317	243.955	0	0	0.0370096	-0.801317
0.0374902	1.37501	-0.801281	244.005	0	0	0.0374902	-0.801281
0.0379861	1.37446	-0.800686	244.055	0	0	0.0379861	-0.800686
0.0395035	1.36926	-0.801661	244.105	0	0	0.0395035	-0.801661
0.0399662	1.36514	-0.803353	244.155	0	0	0.0399662	-0.803353
0.0379043	1.36662	-0.804198	244.205	0	0	0.0379043	-0.804198
0.0366726	1.37306	-0.80377	244.254	0	0	0.0366726	-0.80377
0.0369055	1.37642	-0.801295	244.305	0	0	0.0369055	-0.801295
0.0383062	1.37364	-0.800441	244.355	0	0	0.0383062	-0.800441
0.0407011	1.36982	-0.801142	244.405	0	0	0.0407011	-0.801142
0.0405254	1.37097	-0.800579	244.455	0	0	0.0405254	-0.800579
0.0401439	1.37695	-0.800474	244.506	0	0	0.0401439	-0.800474
0.041395	1.38204	-0.798781	244.556	0	0	0.041395	-0.798781
0.0439916	1.3824	-0.796002	244.606	0	0	0.0439916	-0.796002
0.0461721	1.3778	-0.795265	244.656	0	0	0.0461721	-0.795265
0.0463528	1.37433	-0.79617	244.706	0	0	0.0463528	-0.79617
0.0444187	1.37506	-0.796851	244.756	0	0	0.0444187	-0.796851
0.0427642	1.37974	-0.797458	244.805	0	0	0.0427642	-0.797458
0.0424273	1.38262	-0.796912	244.856	0	0	0.0424273	-0.796912
0.0427307	1.3792	-0.796863	244.906	0	0	0.0427307	-0.796863
0.0431355	1.37425	-0.798136	244.956	0	0	0.0431355	-0.798136
0.0415101	1.37271	-0.798234	245.006	0	0	0.0415101	-0.798234
0.0400655	1.37626	-0.798579	245.056	0	0	0.0400655	-0.798579
0.0395657	1.38022	-0.798103	245.107	0	0	0.0395657	-0.798103
0.0398571	1.3798	-0.795983	245.156	0	0	0.0398571	-0.795983
0.0420639	1.37579	-0.795461	245.206	0	0	0.0420639	-0.795461
0.0428187	1.37274	-0.796467	245.256	0	0	0.0428187	-0.796467
0.0420771	1.37422	-0.797274	245.306	0	0	0.0420771	-0.797274
0.0414364	1.37998	-0.798183	245.356	0	0	0.0414364	-0.798183
0.042057	1.38556	-0.797643	245.406	0	0	0.042057	-0.797643
0.0434227	1.38512	-0.796286	245.455	0	0	0.0434227	-0.796286
0.0450522	1.38119	-0.796853	245.505	0	0	0.0450522	-0.796853
0.0459286	1.37775	-0.797723	245.555	0	0	0.0459286	-0.797723
0.0449043	1.37853	-0.798774	245.605	0	0	0.0449043	-0.798774
0.0447121	1.38209	-0.799298	245.656	0	0	0.0447121	-0.799298
0.045406	1.38243	-0.798131	245.705	0	0	0.045406	-0.798131
0.0470492	1.37772	-0.797566	245.756	0	0	0.0470492	-0.797566
0.048298	1.37298	-0.798374	245.807	0	0	0.048298	-0.798374
0.0473537	1.37209	-0.798947	245.857	0	0	0.0473537	-0.798947
0.04595	1.37534	-0.799774	245.907	0	0	0.04595	-0.799774
0.0456876	1.38084	-0.799898	245.958	0	0	0.0456876	-0.799898
0.0462992	1.38138	-0.798738	246.007	0	0	0.0462992	-0.798738
0.0474561	1.37807	-0.798583	246.057	0	0	0.0474561	-0.798583
0.0483589	1.37427	-0.799726	246.108	0	0	0.0483589	-0.799726
0.0467443	1.37435	-0.800418	246.158	0	0	0.0467443	-0.800418
0.0453732	1.37811	-0.801085	246.208	0	0	0.0453732	-0.801085
0.0451938	1.38103	-0.800509	246.258	0	0	0.0451938	-0.800509
0.0457187	1.37874	-0.798869	246.309	0	0	0.0457187	-0.798869
0.0473723	1.37355	-0.799122	246.359	0	0	0.0473723	-0.799122
0.0468289	1.37151	-0.799688	246.409	0	0	0.0468289	-0.799688
0.0446515	1.37475	-0.799731	246.459	0	0	0.0446515	-0.799731
0.0439856	1.37838	-0.798859	246.509	0	0	0.0439856	-0.798859
0.0448612	1.37739	-0.797066	246.559	0	0	0.0448612	-0.797066
0.0467097	1.37368	-0.796421	246.609	0	0	0.0467097	-0.796421
0.0483381	1.37104	-0.796144	246.659	0	0	0.0483381	-0.796144
0.047629	1.3728	-0.796226	246.708	0	0	0.047629	-0.796226
0.046882	1.37802	-0.796103	246.758	0	0	0.046882	-0.796103
0.0475737	1.38049	-0.794463	246.808	0	0	0.0475737	-0.794463
0.0489955	1.3767	-0.793425	246.857	0	0	0.0489955	-0.793425
0.0504427	1.37173	-0.794817	246.907	0	0	0.0504427	-0.794817
0.0486317	1.37285	-0.79577	246.957	0	0	0.0486317	-0.79577
0.0468067	1.37871	-0.795928	247.008	0	0	0.0468067	-0.795928
0.0469283	1.38165	-0.795427	247.057	0	0	0.0469283	-0.795427
0.0479046	1.37908	-0.795273	247.107	0	0	0.0479046	-0.795273
0.0491288	1.3751	-0.79614	247.157	0	0	0.0491288	-0.79614
0.0484598	1.37557	-0.797581	247.207	0	0	0.0484598	-0.797581
0.0464977	1.38085	-0.798067	247.257	0	0	0.0464977	-0.798067
0.0459055	1.38468	-0.798052	247.307	0	0	0.0459055	-0.798052
0.04676	1.3832	-0.797162	247.357	0	0	0.04676	-0.797162
0.0481016	1.37854	-0.797847	247.407	0	0	0.0481016	-0.797847
0.0484035	1.37701	-0.79929	247.458	0	0	0.0484035	-0.79929
0.0461972	1.38102	-0.800277	247.507	0	0	0.0461972	-0.800277
0.0449679	1.38648	-0.800338	247.557	0	0	0.0449679	-0.800338
0.0456079	1.38474	-0.799104	247.607	0	0	0.0456079	-0.799104
0.0477195	1.379	-0.799442	247.658	0	0	0.0477195	-0.799442
0.0479463	1.377	-0.800757	247.708	0	0	0.0479463	-0.800757
0.0455999	1.38098	-0.801658	247.758	0	0	0.0455999	-0.801658
0.0443745	1.38604	-0.801458	247.808	0	0	0.0443745	-0.801458
0.045148	1.38465	-0.800332	247.858	0	0	0.045148	-0.800332
0.0464921	1.38057	-0.799754	247.908	0	0	0.0464921	-0.799754
0.0470783	1.37873	-0.800803	247.958	0	0	0.0470783	-0.800803
0.0444969	1.38198	-0.801306	248.008	0	0	0.0444969	-0.801306
0.0426233	1.38477	-0.800307	248.058	0	0	0.0426233	-0.800307
0.0432326	1.38219	-0.798596	248.108	0	0	0.0432326	-0.798596
0.0453035	1.3785	-0.798252	248.158	0	0	0.0453035	-0.798252
0.0450627	1.37877	-0.799584	248.208	0	0	0.0450627	-0.799584
0.0424372	1.38373	-0.79982	248.258	0	0	0.0424372	-0.79982
0.0419617	1.3843	-0.798375	248.309	0	0	0.0419617	-0.798375
0.0436346	1.3813	-0.796943	248.358	0	0	0.0436346	-0.796943
0.0455784	1.37943	-0.797578	248.408	0	0	0.0455784	-0.797578
0.0434605	1.38261	-0.797949	248.458	0	0	0.0434605	-0.797949
0.0413692	1.38606	-0.797164	248.508	0	0	0.0413692	-0.797164
0.0418859	1.38439	-0.795445	248.558	0	0	0.0418859	-0.795445
0.0439932	1.38007	-0.793453	248.608	0	0	0.0439932	-0.793453
0.0447472	1.37887	-0.794012	248.658	0	0	0.0447472	-0.794012
0.0428313	1.38328	-0.794313	248.708	0	0	0.0428313	-0.794313
0.0416505	1.38699	-0.792046	248.758	0	0	0.0416505	-0.792046
0.0432011	1.38226	-0.789977	248.807	0	0	0.0432011	-0.789977
0.0449196	1.37477	-0.790306	248.858	0	0	0.0449196	-0.790306
0.0429203	1.37552	-0.791201	248.908	0	0	0.0429203	-0.791201
0.0400562	1.38414	-0.790556	248.958	0	0	0.0400562	-0.790556
0.0399894	1.38601	-0.787762	249.008	0	0	0.0399894	-0.787762
0.0419099	1.37839	-0.786034	249.058	0	0	0.0419099	-0.786034
0.0436485	1.37088	-0.786349	249.108	0	0	0.0436485	-0.786349
0.0414906	1.37213	-0.786653	249.159	0	0	0.0414906	-0.786653
0.0391809	1.37979	-0.786545	249.209	0	0	0.0391809	-0.786545
0.0381816	1.38503	-0.784477	249.259	0	0	0.0381816	-0.784477
0.0399406	1.37743	-0.782456	249.309	0	0	0.0399406	-0.782456
0.0418368	1.36823	-0.783367	249.359	0	0	0.0418368	-0.783367
0.0407915	1.36696	-0.784214	249.408	0	0	0.0407915	-0.784214
0.037568	1.37421	-0.784281	249.459	0	0	0.037568	-0.784281
0.0362109	1.38118	-0.781529	249.509	0	0	0.0362109	-0.781529
0.0379285	1.37466	-0.777553	249.559	0	0	0.0379285	-0.777553
0.0406399	1.36523	-0.779092	249.609	0	0	0.0406399	-0.779092
0.0380819	1.36382	-0.780133	249.66	0	0	0.0380819	-0.780133
0.034351	1.37097	-0.7806	249.709	0	0	0.034351	-0.7806
0.0332518	1.37642	-0.779068	249.759	0	0	0.0332518	-0.779068
0.0342338	1.3731	-0.776657	249.809	0	0	0.0342338	-0.776657
0.036256	1.36548	-0.776852	249.859	0	0	0.036256	-0.776852
0.0347611	1.36427	-0.778391	249.909	0	0	0.0347611	-0.778391
0.031395	1.36984	-0.779187	249.959	0	0	0.031395	-0.779187
0.0290693	1.37649	-0.778	250.009	0	0	0.0290693	-0.778
0.0294916	1.37307	-0.774303	250.059	0	0	0.0294916	-0.774303
0.0320117	1.36465	-0.773527	250.109	0	0	0.0320117	-0.773527
0.0321285	1.36038	-0.775145	250.159	0	0	0.0321285	-0.775145
0.027023	1.3673	-0.775034	250.209	0	0	0.027023	-0.775034
0.025719	1.37312	-0.773126	250.259	0	0	0.025719	-0.773126
0.0275461	1.36968	-0.770322	250.309	0	0	0.0275461	-0.770322
0.0299889	1.36263	-0.7711	250.359	0	0	0.0299889	-0.7711
0.0281516	1.36115	-0.772901	250.409	0	0	0.0281516	-0.772901
0.0242135	1.36699	-0.774061	250.459	0	0	0.0242135	-0.774061
0.0223937	1.37206	-0.773986	250.509	0	0	0.0223937	-0.773986
0.0227732	1.37131	-0.77203	250.559	0	0	0.0227732	-0.77203
0.0248818	1.36356	-0.771377	250.609	0	0	0.0248818	-0.771377
0.0252487	1.35902	-0.77357	250.659	0	0	0.0252487	-0.77357
0.0221925	1.36272	-0.774559	250.71	0	0	0.0221925	-0.774559
0.0199288	1.37046	-0.774226	250.76	0	0	0.0199288	-0.774226
0.0208706	1.36912	-0.771244	250.81	0	0	0.0208706	-0.771244
0.0240418	1.36201	-0.771524	250.86	0	0	0.0240418	-0.771524
0.0245826	1.35827	-0.773453	250.91	0	0	0.0245826	-0.773453
0.0212394	1.36245	-0.77484	250.96	0	0	0.0212394	-0.77484
0.0191878	1.36912	-0.775487	251.009	0	0	0.0191878	-0.775487
0.019509	1.37066	-0.773953	251.059	0	0	0.019509	-0.773953
0.0216491	1.36646	-0.773007	251.108	0	0	0.0216491	-0.773007
