X	Y	Z	Time	xtrans	ytrans	x + xtrans	y + ytrans
-0.0184273	1.5631	0.15294	0.576391	0	0	-0.0184273	0.15294
-0.0297906	1.56292	0.165485	0.626311	0	0	-0.0297906	0.165485
-0.0411492	1.56257	0.1746	0.675943	0	0	-0.0411492	0.1746
-0.0544571	1.56047	0.182055	0.725589	0	0	-0.0544571	0.182055
-0.0755955	1.55637	0.18981	0.775838	0	0	-0.0755955	0.18981
-0.0953463	1.5538	0.19296	0.825948	0	0	-0.0953463	0.19296
-0.116694	1.55101	0.192105	0.876574	0	0	-0.116694	0.192105
-0.143934	1.54694	0.188204	0.926393	0	0	-0.143934	0.188204
-0.172847	1.54516	0.180353	0.976316	0	0	-0.172847	0.180353
-0.202202	1.54459	0.170045	1.02672	0	0	-0.202202	0.170045
-0.232062	1.54652	0.15992	1.07663	0	0	-0.232062	0.15992
-0.261235	1.55056	0.152066	1.12694	0	0	-0.261235	0.152066
-0.286784	1.55516	0.146059	1.17773	0	0	-0.286784	0.146059
-0.310641	1.55953	0.140182	1.22796	0	0	-0.310641	0.140182
-0.331622	1.56326	0.1342	1.27757	0	0	-0.331622	0.1342
-0.355184	1.56002	0.129489	1.32777	0	0	-0.355184	0.129489
-0.373173	1.56356	0.123214	1.37825	0	0	-0.373173	0.123214
-0.384461	1.58113	0.119735	1.42795	0	0	-0.384461	0.119735
-0.394961	1.59378	0.12175	1.47873	0	0	-0.394961	0.12175
-0.406381	1.60311	0.125887	1.52887	0	0	-0.406381	0.125887
-0.413444	1.6044	0.128008	1.57974	0	0	-0.413444	0.128008
-0.417581	1.60334	0.129884	1.62861	0	0	-0.417581	0.129884
-0.422322	1.60241	0.132679	1.67875	0	0	-0.422322	0.132679
-0.426245	1.60265	0.13538	1.72938	0	0	-0.426245	0.13538
-0.430883	1.60236	0.13842	1.77995	0	0	-0.430883	0.13842
-0.435993	1.60041	0.141271	1.83002	0	0	-0.435993	0.141271
-0.441165	1.59876	0.14408	1.88086	0	0	-0.441165	0.14408
-0.445816	1.59655	0.146684	1.9308	0	0	-0.445816	0.146684
-0.448756	1.59487	0.148615	1.98095	0	0	-0.448756	0.148615
-0.451066	1.59234	0.151131	2.03099	0	0	-0.451066	0.151131
-0.453121	1.59085	0.154249	2.08181	0	0	-0.453121	0.154249
-0.4556	1.58996	0.155805	2.13179	0	0	-0.4556	0.155805
-0.457024	1.59058	0.157091	2.18192	0	0	-0.457024	0.157091
-0.458012	1.59087	0.15987	2.23204	0	0	-0.458012	0.15987
-0.458533	1.59056	0.164531	2.28278	0	0	-0.458533	0.164531
-0.455421	1.59057	0.168942	2.33228	0	0	-0.455421	0.168942
-0.44823	1.58929	0.172929	2.38277	0	0	-0.44823	0.172929
-0.437072	1.58816	0.177052	2.43288	0	0	-0.437072	0.177052
