X	Y	Z	Time	xtrans	ytrans	x + xtrans	y + ytrans
0.23894	1.65508	0.19032	0.564598	0	0	0.23894	0.19032
0.238872	1.65502	0.190336	0.613594	0	0	0.238872	0.190336
0.238767	1.65395	0.190672	0.663808	0	0	0.238767	0.190672
0.239075	1.65144	0.190808	0.713884	0	0	0.239075	0.190808
0.239116	1.6511	0.190311	0.763534	0	0	0.239116	0.190311
0.238896	1.65266	0.190154	0.813712	0	0	0.238896	0.190154
0.238609	1.6556	0.19027	0.863327	0	0	0.238609	0.19027
0.237868	1.66135	0.190477	0.912988	0	0	0.237868	0.190477
0.237132	1.66664	0.191378	0.963148	0	0	0.237132	0.191378
0.236493	1.67096	0.192291	1.01338	0	0	0.236493	0.192291
0.236106	1.675	0.193178	1.06344	0	0	0.236106	0.193178
0.236359	1.67766	0.193996	1.11304	0	0	0.236359	0.193996
0.236834	1.67918	0.194651	1.16263	0	0	0.236834	0.194651
0.237243	1.67993	0.19517	1.21353	0	0	0.237243	0.19517
0.237729	1.67957	0.195561	1.26251	0	0	0.237729	0.195561
0.238142	1.67909	0.195463	1.3123	0	0	0.238142	0.195463
0.238811	1.67864	0.195476	1.3624	0	0	0.238811	0.195476
0.239536	1.67869	0.195747	1.41219	0	0	0.239536	0.195747
0.240069	1.67894	0.196433	1.46223	0	0	0.240069	0.196433
0.24053	1.67905	0.197105	1.51268	0	0	0.24053	0.197105
0.240936	1.67889	0.197683	1.56256	0	0	0.240936	0.197683
0.241036	1.67878	0.198195	1.61271	0	0	0.241036	0.198195
0.240824	1.67867	0.198711	1.66267	0	0	0.240824	0.198711
0.240568	1.67881	0.199224	1.71273	0	0	0.240568	0.199224
0.239901	1.67964	0.200082	1.79571	0	0	0.239901	0.200082
0.239726	1.6797	0.200222	1.81254	0	0	0.239726	0.200222
0.23895	1.67993	0.200518	1.86209	0	0	0.23895	0.200518
0.238329	1.68	0.200742	1.91174	0	0	0.238329	0.200742
0.237815	1.67997	0.200987	1.9613	0	0	0.237815	0.200987
0.23739	1.6802	0.200998	2.01143	0	0	0.23739	0.200998
0.236934	1.6803	0.201101	2.06114	0	0	0.236934	0.201101
0.236546	1.68007	0.201118	2.11067	0	0	0.236546	0.201118
0.236357	1.67997	0.201214	2.16045	0	0	0.236357	0.201214
0.236173	1.68006	0.2011	2.21041	0	0	0.236173	0.2011
0.235983	1.68015	0.20106	2.2601	0	0	0.235983	0.20106
0.236078	1.68018	0.200891	2.31018	0	0	0.236078	0.200891
0.236218	1.6806	0.20089	2.36044	0	0	0.236218	0.20089
0.236347	1.68093	0.20106	2.41035	0	0	0.236347	0.20106
0.236333	1.68105	0.20134	2.45995	0	0	0.236333	0.20134
0.236176	1.68096	0.201712	2.50959	0	0	0.236176	0.201712
0.236061	1.68041	0.202235	2.55919	0	0	0.236061	0.202235
0.236021	1.67935	0.203155	2.60938	0	0	0.236021	0.203155
0.236068	1.67835	0.2041	2.6596	0	0	0.236068	0.2041
0.235908	1.67761	0.205472	2.70933	0	0	0.235908	0.205472
0.235568	1.67707	0.206845	2.75925	0	0	0.235568	0.206845
0.235061	1.67642	0.208591	2.80886	0	0	0.235061	0.208591
0.234601	1.67603	0.210434	2.85851	0	0	0.234601	0.210434
0.234365	1.67606	0.21227	2.90868	0	0	0.234365	0.21227
0.234463	1.6764	0.214278	2.95831	0	0	0.234463	0.214278
0.236487	1.68133	0.215032	3.00889	0	0	0.236487	0.215032
0.235948	1.67747	0.218846	3.05906	0	0	0.235948	0.218846
0.23324	1.6642	0.224164	3.10927	0	0	0.23324	0.224164
0.230293	1.65324	0.224836	3.15891	0	0	0.230293	0.224836
0.230131	1.65089	0.223736	3.20859	0	0	0.230131	0.223736
0.230735	1.65152	0.224364	3.25831	0	0	0.230735	0.224364
0.230645	1.65255	0.226179	3.30823	0	0	0.230645	0.226179
