X	Y	Z	Time	xtrans	ytrans	x + xtrans	y + ytrans
0.0904119	1.6773	0.0438957	0.582095	0	0	0.0904119	0.0438957
0.0978234	1.67776	0.0423715	0.631414	0	0	0.0978234	0.0423715
0.104931	1.67872	0.041377	0.681197	0	0	0.104931	0.041377
0.113764	1.67883	0.0408972	0.731121	0	0	0.113764	0.0408972
0.120309	1.67925	0.0407348	0.781394	0	0	0.120309	0.0407348
0.126212	1.67922	0.0410089	0.831405	0	0	0.126212	0.0410089
0.130095	1.67902	0.0419762	0.881729	0	0	0.130095	0.0419762
0.133949	1.67981	0.0436894	0.931743	0	0	0.133949	0.0436894
0.137556	1.68062	0.0460907	0.981404	0	0	0.137556	0.0460907
0.140508	1.68158	0.0482565	1.03158	0	0	0.140508	0.0482565
0.143669	1.68202	0.0498735	1.08174	0	0	0.143669	0.0498735
0.146697	1.68239	0.05098	1.13175	0	0	0.146697	0.05098
0.149913	1.68264	0.0509878	1.18154	0	0	0.149913	0.0509878
0.15295	1.68293	0.0509602	1.23163	0	0	0.15295	0.0509602
0.156094	1.68316	0.0509209	1.2813	0	0	0.156094	0.0509209
0.159137	1.68343	0.0505226	1.33133	0	0	0.159137	0.0505226
0.16158	1.68386	0.0498772	1.38139	0	0	0.16158	0.0498772
0.163988	1.68402	0.0488454	1.43111	0	0	0.163988	0.0488454
0.166607	1.68418	0.047619	1.48073	0	0	0.166607	0.047619
0.16932	1.68431	0.0464597	1.53037	0	0	0.16932	0.0464597
0.171778	1.68421	0.0454019	1.58057	0	0	0.171778	0.0454019
0.174413	1.6843	0.0447887	1.63017	0	0	0.174413	0.0447887
0.176619	1.68489	0.0441839	1.68068	0	0	0.176619	0.0441839
0.178886	1.68589	0.0437458	1.7303	0	0	0.178886	0.0437458
0.180773	1.68714	0.0434636	1.78085	0	0	0.180773	0.0434636
0.18231	1.68757	0.0436512	1.83155	0	0	0.18231	0.0436512
0.183513	1.68737	0.0438125	1.88173	0	0	0.183513	0.0438125
0.184973	1.68664	0.0439293	1.9313	0	0	0.184973	0.0439293
0.18624	1.68507	0.0439093	1.98203	0	0	0.18624	0.0439093
0.187205	1.68319	0.0438343	2.03148	0	0	0.187205	0.0438343
0.188424	1.68183	0.0440315	2.08159	0	0	0.188424	0.0440315
0.189364	1.68137	0.0446595	2.13138	0	0	0.189364	0.0446595
0.190596	1.68128	0.045971	2.21359	0	0	0.190596	0.045971
0.191053	1.68121	0.0462843	2.23147	0	0	0.191053	0.0462843
0.193864	1.68077	0.0470946	2.28157	0	0	0.193864	0.0470946
0.193007	1.68112	0.0465094	2.33125	0	0	0.193007	0.0465094
0.189206	1.681	0.0457086	2.38139	0	0	0.189206	0.0457086
0.184753	1.68095	0.0451143	2.43164	0	0	0.184753	0.0451143
0.179487	1.68108	0.0451354	2.48166	0	0	0.179487	0.0451354
0.175354	1.68093	0.045557	2.53131	0	0	0.175354	0.045557
0.171977	1.68113	0.0460742	2.58085	0	0	0.171977	0.0460742
0.169237	1.68127	0.046355	2.63064	0	0	0.169237	0.046355
0.166627	1.68265	0.0461432	2.68119	0	0	0.166627	0.0461432
0.165492	1.68366	0.0460029	2.73074	0	0	0.165492	0.0460029
0.164884	1.68403	0.0455838	2.78037	0	0	0.164884	0.0455838
0.163526	1.68301	0.0455648	2.83037	0	0	0.163526	0.0455648
0.16143	1.68147	0.0453681	2.88017	0	0	0.16143	0.0453681
0.159245	1.68055	0.0450943	2.93031	0	0	0.159245	0.0450943
0.157528	1.67979	0.0450741	2.98045	0	0	0.157528	0.0450741
0.155392	1.67684	0.0449672	3.03059	0	0	0.155392	0.0449672
0.1528	1.67356	0.0451353	3.08072	0	0	0.1528	0.0451353
0.150019	1.66965	0.0455472	3.13087	0	0	0.150019	0.0455472
0.148505	1.66796	0.0455921	3.18048	0	0	0.148505	0.0455921
0.147542	1.66577	0.0460953	3.23072	0	0	0.147542	0.0460953
0.146897	1.66424	0.0467299	3.28026	0	0	0.146897	0.0467299
0.146784	1.66345	0.0476416	3.32991	0	0	0.146784	0.0476416
0.146477	1.66325	0.0483083	3.37951	0	0	0.146477	0.0483083
0.145433	1.66186	0.048968	3.42967	0	0	0.145433	0.048968
0.144596	1.66101	0.0493593	3.47936	0	0	0.144596	0.0493593
0.144425	1.66044	0.0500007	3.52892	0	0	0.144425	0.0500007
0.144513	1.66087	0.0503668	3.57882	0	0	0.144513	0.0503668
0.146162	1.66194	0.0512166	3.62821	0	0	0.146162	0.0512166
