X	Y	Z	Time	xtrans	ytrans	x + xtrans	y + ytrans
-0.0196459	1.56545	-0.248756	0.548802	0	0	-0.0196459	-0.248756
-0.0341724	1.56699	-0.256375	0.59806	0	0	-0.0341724	-0.256375
-0.0492591	1.56899	-0.262014	0.64772	0	0	-0.0492591	-0.262014
-0.0648341	1.57376	-0.267624	0.697374	0	0	-0.0648341	-0.267624
-0.0787418	1.57926	-0.27303	0.747084	0	0	-0.0787418	-0.27303
-0.09073	1.58362	-0.278313	0.796547	0	0	-0.09073	-0.278313
-0.0987351	1.587	-0.282349	0.846669	0	0	-0.0987351	-0.282349
-0.104138	1.5891	-0.284802	0.895667	0	0	-0.104138	-0.284802
-0.108888	1.5883	-0.286488	0.945548	0	0	-0.108888	-0.286488
-0.117092	1.58589	-0.2884	0.99569	0	0	-0.117092	-0.2884
-0.128551	1.58454	-0.291083	1.04551	0	0	-0.128551	-0.291083
-0.141024	1.58426	-0.295246	1.096	0	0	-0.141024	-0.295246
-0.155105	1.58332	-0.298943	1.1456	0	0	-0.155105	-0.298943
-0.173794	1.57952	-0.301063	1.19566	0	0	-0.173794	-0.301063
-0.190309	1.57333	-0.300267	1.24544	0	0	-0.190309	-0.300267
-0.20674	1.56681	-0.299598	1.29506	0	0	-0.20674	-0.299598
-0.221069	1.56259	-0.29935	1.34519	0	0	-0.221069	-0.29935
-0.233006	1.55926	-0.298619	1.39526	0	0	-0.233006	-0.298619
-0.241813	1.55567	-0.298088	1.44495	0	0	-0.241813	-0.298088
-0.248847	1.55342	-0.298773	1.4949	0	0	-0.248847	-0.298773
-0.252605	1.55388	-0.298997	1.54557	0	0	-0.252605	-0.298997
-0.252347	1.55542	-0.297957	1.5955	0	0	-0.252347	-0.297957
-0.248434	1.55745	-0.296003	1.6452	0	0	-0.248434	-0.296003
-0.243468	1.55637	-0.29423	1.69541	0	0	-0.243468	-0.29423
-0.240582	1.55671	-0.293659	1.74492	0	0	-0.240582	-0.293659
-0.239074	1.55603	-0.292067	1.79458	0	0	-0.239074	-0.292067
-0.239002	1.55467	-0.289184	1.84479	0	0	-0.239002	-0.289184
-0.239539	1.55525	-0.287168	1.89537	0	0	-0.239539	-0.287168
-0.240141	1.55701	-0.285942	1.94495	0	0	-0.240141	-0.285942
-0.240335	1.55747	-0.284923	1.99508	0	0	-0.240335	-0.284923
-0.240086	1.55703	-0.2837	2.04532	0	0	-0.240086	-0.2837
-0.240016	1.55684	-0.282805	2.09499	0	0	-0.240016	-0.282805
-0.240209	1.55635	-0.282381	2.14496	0	0	-0.240209	-0.282381
-0.241317	1.55579	-0.282626	2.1946	0	0	-0.241317	-0.282626
-0.243317	1.55425	-0.282699	2.24476	0	0	-0.243317	-0.282699
-0.244715	1.5533	-0.282947	2.29497	0	0	-0.244715	-0.282947
-0.245137	1.55341	-0.283858	2.34506	0	0	-0.245137	-0.283858
-0.244319	1.5539	-0.28538	2.39468	0	0	-0.244319	-0.28538
-0.242176	1.55447	-0.286613	2.44433	0	0	-0.242176	-0.286613
-0.239821	1.55538	-0.288007	2.4945	0	0	-0.239821	-0.288007
-0.236391	1.55594	-0.288962	2.54516	0	0	-0.236391	-0.288962
