X	Y	Z	Time	xtrans	ytrans	x + xtrans	y + ytrans
0.35866	1.43403	-0.268654	0.574395	0	0	0.35866	-0.268654
0.36027	1.42779	-0.270288	0.623561	0	0	0.36027	-0.270288
0.362882	1.4246	-0.273945	0.673265	0	0	0.362882	-0.273945
0.366256	1.42157	-0.27834	0.722844	0	0	0.366256	-0.27834
0.367457	1.41842	-0.280823	0.772549	0	0	0.367457	-0.280823
0.368399	1.4209	-0.283082	0.822128	0	0	0.368399	-0.283082
0.370717	1.42228	-0.283818	0.871723	0	0	0.370717	-0.283818
0.37056	1.42354	-0.283719	0.921391	0	0	0.37056	-0.283719
0.371165	1.4226	-0.285887	0.971049	0	0	0.371165	-0.285887
0.370477	1.42046	-0.287726	1.02064	0	0	0.370477	-0.287726
0.370438	1.41779	-0.289955	1.07043	0	0	0.370438	-0.289955
0.367917	1.41925	-0.291666	1.11991	0	0	0.367917	-0.291666
0.365519	1.41986	-0.292986	1.16955	0	0	0.365519	-0.292986
0.364087	1.41985	-0.293833	1.21965	0	0	0.364087	-0.293833
0.36217	1.41951	-0.292423	1.26932	0	0	0.36217	-0.292423
0.360175	1.41945	-0.290216	1.31891	0	0	0.360175	-0.290216
0.357352	1.42213	-0.289658	1.36857	0	0	0.357352	-0.289658
0.353323	1.42406	-0.288791	1.41868	0	0	0.353323	-0.288791
0.349126	1.42736	-0.28845	1.46832	0	0	0.349126	-0.28845
0.346544	1.43086	-0.289881	1.51854	0	0	0.346544	-0.289881
0.345777	1.43257	-0.28951	1.56814	0	0	0.345777	-0.28951
0.346564	1.43112	-0.289919	1.61841	0	0	0.346564	-0.289919
0.347	1.42866	-0.288323	1.6687	0	0	0.347	-0.288323
0.34884	1.4252	-0.284015	1.71805	0	0	0.34884	-0.284015
0.351293	1.42496	-0.280354	1.76768	0	0	0.351293	-0.280354
0.353351	1.4294	-0.27885	1.81735	0	0	0.353351	-0.27885
0.357846	1.43226	-0.276951	1.86686	0	0	0.357846	-0.276951
0.363266	1.43243	-0.276819	1.91702	0	0	0.363266	-0.276819
0.367085	1.43155	-0.277679	1.96665	0	0	0.367085	-0.277679
0.367661	1.42966	-0.279001	2.01631	0	0	0.367661	-0.279001
0.362725	1.42858	-0.279079	2.0664	0	0	0.362725	-0.279079
0.357056	1.42777	-0.277156	2.1161	0	0	0.357056	-0.277156
0.353112	1.42784	-0.274889	2.16682	0	0	0.353112	-0.274889
0.35028	1.42791	-0.271686	2.21636	0	0	0.35028	-0.271686
0.347954	1.42731	-0.268656	2.26644	0	0	0.347954	-0.268656
0.347563	1.42508	-0.267473	2.31664	0	0	0.347563	-0.267473
0.345597	1.42433	-0.266584	2.36671	0	0	0.345597	-0.266584
0.343093	1.42522	-0.266221	2.41635	0	0	0.343093	-0.266221
0.341638	1.4248	-0.264657	2.46599	0	0	0.341638	-0.264657
0.341382	1.42517	-0.264151	2.51568	0	0	0.341382	-0.264151
0.339971	1.42363	-0.262465	2.56582	0	0	0.339971	-0.262465
0.337384	1.42338	-0.258929	2.6154	0	0	0.337384	-0.258929
0.334831	1.42554	-0.257844	2.6652	0	0	0.334831	-0.257844
0.331048	1.4264	-0.257663	2.71534	0	0	0.331048	-0.257663
0.328596	1.42604	-0.254036	2.76537	0	0	0.328596	-0.254036
0.321598	1.43748	-0.253678	2.81543	0	0	0.321598	-0.253678
0.325158	1.42924	-0.243778	2.86517	0	0	0.325158	-0.243778
0.324373	1.43274	-0.241879	2.91519	0	0	0.324373	-0.241879
0.321897	1.43148	-0.238229	2.96483	0	0	0.321897	-0.238229
