X	Y	Z	Time	xtrans	ytrans	x + xtrans	y + ytrans
-0.0635562	1.61345	-0.0399581	0.588118	0	0	-0.0635562	-0.0399581
-0.0692265	1.61802	-0.0363526	0.638174	0	0	-0.0692265	-0.0363526
-0.0732493	1.6218	-0.0331386	0.688671	0	0	-0.0732493	-0.0331386
-0.0755198	1.62567	-0.0302066	0.738752	0	0	-0.0755198	-0.0302066
-0.0753829	1.62777	-0.0277531	0.788344	0	0	-0.0753829	-0.0277531
-0.0737719	1.62927	-0.0250214	0.838078	0	0	-0.0737719	-0.0250214
-0.0700567	1.62986	-0.0215409	0.887575	0	0	-0.0700567	-0.0215409
-0.0637408	1.6312	-0.0176665	0.937238	0	0	-0.0637408	-0.0176665
-0.0535883	1.63425	-0.0141198	0.987156	0	0	-0.0535883	-0.0141198
-0.0399127	1.63967	-0.0109451	1.03725	0	0	-0.0399127	-0.0109451
-0.0263115	1.64258	-0.00884181	1.08696	0	0	-0.0263115	-0.00884181
-0.0134454	1.64164	-0.00713414	1.13683	0	0	-0.0134454	-0.00713414
0.0044888	1.63589	-0.00542629	1.18648	0	0	0.0044888	-0.00542629
0.0183311	1.63519	-0.00425845	1.23716	0	0	0.0183311	-0.00425845
0.0303913	1.63745	-0.00401974	1.28673	0	0	0.0303913	-0.00401974
0.0399184	1.64008	-0.00481421	1.33739	0	0	0.0399184	-0.00481421
0.0458003	1.64247	-0.00690567	1.38708	0	0	0.0458003	-0.00690567
0.050405	1.64392	-0.0105195	1.43676	0	0	0.050405	-0.0105195
0.0559039	1.64454	-0.0139349	1.48643	0	0	0.0559039	-0.0139349
0.0638455	1.64314	-0.0138471	1.53607	0	0	0.0638455	-0.0138471
0.0707835	1.64267	-0.00917614	1.58569	0	0	0.0707835	-0.00917614
0.0746614	1.64268	0.00237697	1.63593	0	0	0.0746614	0.00237697
0.0725119	1.64209	0.0170103	1.68604	0	0	0.0725119	0.0170103
0.0664756	1.63958	0.0284305	1.73551	0	0	0.0664756	0.0284305
0.0571855	1.63674	0.0378436	1.78569	0	0	0.0571855	0.0378436
0.0448247	1.63359	0.0449229	1.83533	0	0	0.0448247	0.0449229
0.032272	1.63165	0.0505402	1.88507	0	0	0.032272	0.0505402
0.021204	1.63068	0.0551071	1.93509	0	0	0.021204	0.0551071
0.010317	1.63019	0.0585821	1.98472	0	0	0.010317	0.0585821
0.000568852	1.6307	0.0611314	2.03487	0	0	0.000568852	0.0611314
-0.00851726	1.63151	0.0637935	2.08448	0	0	-0.00851726	0.0637935
-0.0150794	1.63166	0.0664842	2.13413	0	0	-0.0150794	0.0664842
-0.0198886	1.63104	0.0702906	2.18402	0	0	-0.0198886	0.0702906
-0.0221349	1.63029	0.0738816	2.2344	0	0	-0.0221349	0.0738816
-0.0217849	1.63046	0.0761315	2.28459	0	0	-0.0217849	0.0761315
-0.0188221	1.63141	0.0727069	2.33472	0	0	-0.0188221	0.0727069
-0.015631	1.63438	0.0606082	2.3849	0	0	-0.015631	0.0606082
-0.015679	1.63798	0.0418417	2.4349	0	0	-0.015679	0.0418417
-0.0224145	1.64312	0.0192164	2.48511	0	0	-0.0224145	0.0192164
-0.0329597	1.6477	0.00180537	2.5357	0	0	-0.0329597	0.00180537
-0.0473885	1.65178	-0.0111924	2.58587	0	0	-0.0473885	-0.0111924
-0.0600227	1.65609	-0.0178205	2.63598	0	0	-0.0600227	-0.0178205
-0.0669694	1.65919	-0.0198603	2.68647	0	0	-0.0669694	-0.0198603
-0.0691235	1.66181	-0.0201154	2.73671	0	0	-0.0691235	-0.0201154
-0.068062	1.66276	-0.0204222	2.78663	0	0	-0.068062	-0.0204222
-0.06468	1.66285	-0.0212122	2.83653	0	0	-0.06468	-0.0212122
-0.0599435	1.66178	-0.0225557	2.88742	0	0	-0.0599435	-0.0225557
-0.0557353	1.66122	-0.0239403	2.93775	0	0	-0.0557353	-0.0239403
-0.0511231	1.66129	-0.0253237	2.988	0	0	-0.0511231	-0.0253237
-0.0474719	1.66173	-0.026531	3.03798	0	0	-0.0474719	-0.026531
-0.0450263	1.66249	-0.0277923	3.08823	0	0	-0.0450263	-0.0277923
-0.0432444	1.66274	-0.0296017	3.13823	0	0	-0.0432444	-0.0296017
