X	Y	Z	Time	xtrans	ytrans	x + xtrans	y + ytrans
0.223773	1.72507	-0.234755	0.545332	0	0	0.223773	-0.234755
0.222346	1.72427	-0.234543	0.595023	0	0	0.222346	-0.234543
0.221498	1.72348	-0.234549	0.644731	0	0	0.221498	-0.234549
0.22068	1.72273	-0.23408	0.694335	0	0	0.22068	-0.23408
0.220263	1.72266	-0.233605	0.744011	0	0	0.220263	-0.233605
0.220055	1.72247	-0.232891	0.793603	0	0	0.220055	-0.232891
0.220312	1.72233	-0.231791	0.843759	0	0	0.220312	-0.231791
0.220924	1.72228	-0.230764	0.893794	0	0	0.220924	-0.230764
0.221751	1.72257	-0.229533	0.943394	0	0	0.221751	-0.229533
0.222633	1.72318	-0.228182	0.994098	0	0	0.222633	-0.228182
0.223039	1.72366	-0.226884	1.04398	0	0	0.223039	-0.226884
0.222749	1.72203	-0.22574	1.09285	0	0	0.222749	-0.22574
0.221834	1.72083	-0.225409	1.14246	0	0	0.221834	-0.225409
0.220516	1.71929	-0.225206	1.19217	0	0	0.220516	-0.225206
0.219326	1.71795	-0.225369	1.24195	0	0	0.219326	-0.225369
0.218501	1.71678	-0.225074	1.29196	0	0	0.218501	-0.225074
0.218182	1.71657	-0.22486	1.3422	0	0	0.218182	-0.22486
0.21791	1.7164	-0.224641	1.39205	0	0	0.21791	-0.224641
0.217828	1.71627	-0.224422	1.44145	0	0	0.217828	-0.224422
0.217645	1.71642	-0.224474	1.49148	0	0	0.217645	-0.224474
0.21803	1.71681	-0.224786	1.54174	0	0	0.21803	-0.224786
0.218521	1.71718	-0.225337	1.59191	0	0	0.218521	-0.225337
0.219092	1.7172	-0.22594	1.64251	0	0	0.219092	-0.22594
0.219259	1.71699	-0.226717	1.69356	0	0	0.219259	-0.226717
0.219757	1.71676	-0.227713	1.74269	0	0	0.219757	-0.227713
0.220345	1.71701	-0.228642	1.79291	0	0	0.220345	-0.228642
0.221107	1.71764	-0.229284	1.84308	0	0	0.221107	-0.229284
0.221905	1.7176	-0.229494	1.89273	0	0	0.221905	-0.229494
0.222595	1.71825	-0.229764	1.94282	0	0	0.222595	-0.229764
0.223332	1.71859	-0.22962	1.99269	0	0	0.223332	-0.22962
0.224044	1.71912	-0.229298	2.04325	0	0	0.224044	-0.229298
0.224577	1.71934	-0.228769	2.09317	0	0	0.224577	-0.228769
0.225287	1.71951	-0.227602	2.14208	0	0	0.225287	-0.227602
0.225943	1.72005	-0.226939	2.19269	0	0	0.225943	-0.226939
0.226788	1.72101	-0.226166	2.24305	0	0	0.226788	-0.226166
0.227558	1.72124	-0.225369	2.29221	0	0	0.227558	-0.225369
0.228297	1.72163	-0.224559	2.34223	0	0	0.228297	-0.224559
0.228829	1.72174	-0.224132	2.39263	0	0	0.228829	-0.224132
0.229185	1.72184	-0.224213	2.44323	0	0	0.229185	-0.224213
0.229374	1.72146	-0.224378	2.49306	0	0	0.229374	-0.224378
0.229369	1.72138	-0.22445	2.54257	0	0	0.229369	-0.22445
0.229386	1.72153	-0.224599	2.59224	0	0	0.229386	-0.224599
0.229104	1.72114	-0.224954	2.64221	0	0	0.229104	-0.224954
0.228454	1.72088	-0.225398	2.7244	0	0	0.228454	-0.225398
0.228311	1.72097	-0.225466	2.7423	0	0	0.228311	-0.225466
0.22811	1.72108	-0.225397	2.79244	0	0	0.22811	-0.225397
0.22782	1.72125	-0.225613	2.8421	0	0	0.22782	-0.225613
0.227415	1.72155	-0.226072	2.89268	0	0	0.227415	-0.226072
0.227092	1.72118	-0.226339	2.94238	0	0	0.227092	-0.226339
0.226694	1.72093	-0.226566	2.99265	0	0	0.226694	-0.226566
0.226339	1.72077	-0.226451	3.0426	0	0	0.226339	-0.226451
0.226327	1.72092	-0.226255	3.09275	0	0	0.226327	-0.226255
0.226217	1.72126	-0.226135	3.14247	0	0	0.226217	-0.226135
0.226278	1.72127	-0.22586	3.19206	0	0	0.226278	-0.22586
0.22645	1.72155	-0.225742	3.24265	0	0	0.22645	-0.225742
0.226504	1.72147	-0.226046	3.29235	0	0	0.226504	-0.226046
0.226223	1.72083	-0.226551	3.34199	0	0	0.226223	-0.226551
0.225695	1.72029	-0.227305	3.39151	0	0	0.225695	-0.227305
0.225257	1.71996	-0.227776	3.44175	0	0	0.225257	-0.227776
0.22493	1.71972	-0.22831	3.49143	0	0	0.22493	-0.22831
0.224551	1.71979	-0.228658	3.54114	0	0	0.224551	-0.228658
0.224041	1.71989	-0.229025	3.59112	0	0	0.224041	-0.229025
0.22364	1.71981	-0.229129	3.64084	0	0	0.22364	-0.229129
0.223478	1.71979	-0.229266	3.69055	0	0	0.223478	-0.229266
0.223479	1.7199	-0.229394	3.74056	0	0	0.223479	-0.229394
0.223559	1.71986	-0.229333	3.79019	0	0	0.223559	-0.229333
